record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
114,18465751,A voxel-based morphometry study of frontal gray matter correlates of impulsivity.,2009,Human brain mapping,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),unknown,inversely correlated,lower,,direct,0.85,"GM volumes of the left and right OFC were inversely correlated with the BIS total score (P = 0.04 and 0.02, respectively).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,lower,"The sentence directly supports the claim by stating an inverse correlation between GM volumes of the OFC and impulsivity, as measured by the BIS total score.",
115,26711526,"Impulsivity across the psychosis spectrum: Correlates of cortical volume, suicidal history, and social and global function.",2016,Schizophrenia research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),"schizophrenia, schizoaffective disorder, psychotic bipolar disorder",associated_with,higher,,direct,0.8,"BIS scores were found to differ significantly between participant groups, with SZA and PBP exhibiting significantly higher impulsivity than SZ, which exhibited significantly higher impulsivity than HC.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),unknown,higher,"The sentence clearly supports the extracted claim by stating that different groups exhibit varying levels of impulsivity, with some groups showing higher impulsivity than others. The sentence directly names the phenotype (impulsivity) and implies a direct relationship between the groups and the phenotype. The direction of the relationship is also clearly stated as 'higher'.",
116,25142098,Dopamine D(2/3) receptor availability and human cognitive impulsivity: a high-resolution positron emission tomography imaging study with [¹¹C]raclopride.,2014,Acta neuropsychiatrica,Barratt Impulsiveness Scale fMRI,unknown,unknown,nonplanning impulsivity,unknown,associated_with,higher,,direct,0.85,The analysis revealed that the non-planning (p = 0.004) and attentional (p = 0.007) impulsiveness subscale scores on the BIS-11 had significant positive correlations with D(2/3) receptor availability in the pre-commissural dorsal caudate.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,impulsiveness,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between nonplanning impulsivity and higher D(2/3) receptor availability.",
117,28695069,Morphological connectivity correlates with trait impulsivity in healthy adults.,2017,PeerJ,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),unknown,correlates_with,unclear,,direct,0.8,"The BIS total score was found to correlate with the MCs between the ACC and two other brain regions in the right hemisphere: the inferior frontal gyrus (IFG), a well-established structure for inhibition control; the inferior temporal gyrus (ITG), which has been previously shown to be associated with hyperactive/impulsivity symptoms.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positive,"The sentence clearly supports the extracted claim by stating a correlation between impulsivity and functional connectivity between the ACC and other brain regions. The direction of the correlation is implied to be positive, as the regions mentioned are associated with inhibition control and impulsivity symptoms. The directness of the claim is also supported, as both phenotype and feature are named in the sentence.",
118,26187551,Self-reported impulsivity is negatively correlated with amygdalar volumes in cocaine dependence.,2015,Psychiatry research,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,nonplanning impulsivity,cocaine-dependent individuals,correlates_with,lower,,direct,0.9,"Cocaine-dependent individuals showed significant negative correlations between amygdalar volumes and scores on the BIS-11 Attentional subscale, and this relationship differed significantly from the non-significant relationship in healthy comparison subjects.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,structural connectivity,lower,"The sentence clearly supports the extracted claim, mentioning a direct relationship between amygdalar volumes and nonplanning impulsivity (measured by the BIS-11 Attentional subscale) in cocaine-dependent individuals.",
119,32428790,Higher impulsivity and lower grey matter volume in the bilateral prefrontal cortex in long-term abstinent individuals with severe methamphetamine use disorder.,2020,Drug and alcohol dependence,Barratt Impulsiveness Scale fMRI,unknown,BOLD variability,impulsivity (general),severe methamphetamine use disorder,correlates_with,lower,,direct,0.85,We observed significantly higher BIS-11 impulsivity scores and lower GMV in the bilateral superior frontal cortex of SMUD-A individuals than in those of control subjects.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),BOLD variability,lower,The sentence directly supports the claim by stating a correlation between impulsivity and lower GMV in the bilateral superior frontal cortex.,
120,36036413,[Low doses of quetiapine (Seroquel) as an impulsivity corrector in patients with bipolar affective disorder in remission].,2022,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),bipolar affective disorders in remission,correlates_with,higher,,direct,0.8,"The data of fMRI showed an increase in the connectivity of the cortex of the central and parietal tegmentum of the left hemisphere with other areas of the brain, which correlated with the changes in psychometric and test parameters.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,impulsivity (general),functional connectivity in the cortex of the central and parietal tegmentum of the left hemisphere,higher,The sentence partially supports the claim but needs revision or is indirect because it does not directly mention the feature type as 'functional connectivity' but rather as a change in connectivity. It also does not specify the brain system.,
121,30658245,"A preliminary investigation of impulsivity, aggression and white matter in patients with bipolar disorder and a suicide attempt history.",2019,Journal of affective disorders,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),bipolar disorder with a suicide attempt history,correlates_with,higher,,direct,0.7,"In patients with BD+S, however, higher FA in the anterior (but not the posterior) brain regions correlated with greater overall impulsivity on the UPPS-P Impulsive Behavior Scale.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim, mentioning impulsivity as the phenotype, structural connectivity as the feature type, a correlation as the relationship, higher as the direction, and directness is also supported as both phenotype and feature are named in the sentence.",
122,40845440,"A multimethod examination of impulsivity and its association with gamma-aminobutyric acid (GABA), glutamate, and other neurometabolite levels in youth who do and do not use alcohol.",2025,Addictive behaviors,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),youth who use alcohol vs. healthy controls,associated_with,higher,,direct,0.7,"Compared to controls, youth who use alcohol had higher impulsivity on the BIS-11 attentional, non-planning, and motor subscales.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),behavioral,higher,"The sentence clearly supports the extracted claim by stating a direct association between alcohol use and higher impulsivity in youth, as measured by the BIS-11 subscales.",
123,12079725,"Frontal white matter microstructure, aggression, and impulsivity in men with schizophrenia: a preliminary study.",2002,Biological psychiatry,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),schizophrenia,associated_with,higher,,direct,0.8,Lower fractional anisotropy in right inferior frontal white matter was associated with higher motor impulsiveness.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence directly states a relationship between a phenotype (impulsivity) and a feature (fractional anisotropy in white matter), with a clear direction (higher impulsivity associated with lower fractional anisotropy).",
124,20406530,Impulsivity and neural correlates of response inhibition in schizophrenia.,2011,Psychological medicine,Barratt Impulsiveness Scale fMRI,unknown,functional connectivity,impulsivity (general),schizophrenia,associated_with,higher,,direct,0.85,"This correlation involves a unique cluster localized within the right ventrolateral prefrontal cortex (VLPFC), a key node of the brain network subserving response inhibition.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention impulsivity or functional connectivity, and does not establish an association between them.",
125,21480730,Why so impulsive? White matter alterations are associated with impulsivity in chronic marijuana smokers.,2011,Experimental and clinical psychopharmacology,Barratt Impulsiveness Scale fMRI,unknown,structural connectivity,impulsivity (general),chronic marijuana smokers,associated_with,higher,,direct,0.9,"MJ smokers also had significantly higher BIS total and motor subscale scores relative to NS, which were positively correlated with left frontal FA values.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,higher,"The sentence clearly supports the extracted claim by stating a direct association between impulsivity (general) and higher structural connectivity in the brain, specifically in left frontal white matter, in chronic marijuana smokers.",
126,19019636,Structural brain abnormalities in borderline personality disorder: a voxel-based morphometry study.,2008,Psychiatry research,Barratt Impulsiveness Scale fMRI,unknown,unknown,impulsivity (general),borderline personality disorder,correlates_with,unclear,,indirect,0.5,"Covarying for impulsivity, as determined by the Barratt Impulsiveness Scale, rendered all previously noted voxel-level group differences non-significant.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,no,,,,"The sentence does not support the phenotype, feature, relationship, or direction of the claim. It mentions impulsivity, but it is used as a covariate rather than a phenotype-feature association.",
